label,text,category
Parties.,"1. Parties.
[insert name],
the ""SELLER,"" agrees to sell and
[insert name], the ""BUYER,"" agrees to buy, the premises described in paragraph 2 on the terms set forth below.
BUYER may require the conveyance to be made to another person or entity (""Nominee"") upon notification in
writing to SELLER at least five business days prior to the date for performance set forth in paragraph 5.
Designation of a Nominee shall not discharge the BUYER from any obligation under this Agreement and
BUYER herebyagrees to guaranteeperformanceby the Nominee.",General
"Description Of Premises. Thepremises (the ""Premises"")consist oftheland containing approximately","2. Description Of Premises. Thepremises (the ""Premises"")consist oftheland containing approximately
acres, moreorless, described as
as morespecificallydescribed in adeed recorded in the Registry of Deeds at
Book , Page , [Certificate No. ] acopyofwhich is is not
[chooseone] attached.",Property
Purchase Price. ThepurchasepriceforthePremises is $,"3. Purchase Price. ThepurchasepriceforthePremises is $
dollars ofwhich
$ werepaid as adepositwith Contract To Purchase; and
$ are paid with this Agreement;and
$ are to bepaid at thetime forperformancebybank, cashier's or certified check orbywire.
$ Total",Payment
"Escrow. All funds deposited or paid by the BUYER shall be held in a non-interest bearing escrow account,","4. Escrow. All funds deposited or paid by the BUYER shall be held in a non-interest bearing escrow account,
by , as agent for the SELLER, subject
to the terms of this Agreement and shall be paid or otherwise duly accounted for at the time for performance. If a
dispute arises between the BUYER and SELLER concerning to whom escrowed funds should be paid, the
escrow agent may retain all escrowed funds pending written instructions mutually given by the BUYER and the
SELLER. The escrow agent shall abide by any Court decision concerning to whom the funds shall be paid and
shall not be made a party to a lawsuit solely as a result of holding escrowed funds. Should the escrow agent be
made a party in violation of this paragraph, the escrow agent shall be dismissed and the party asserting a claim
against the escrow agent shall pay theagent's reasonableattorneys'fees and costs.",Payment
Time For Performance. The SELLER shall deliver the deed and the BUYER shall pay the balance of the,"5. Time For Performance. The SELLER shall deliver the deed and the BUYER shall pay the balance of the
purchasepriceat o'clock . m. on the dayof , ,at the
Registry of Deeds, or at such other time and place as is mutually agreed.
TIME IS OF THE ESSENCE AS TO EACH PROVISION OF THIS AGREEMENT. Unless the deed and other
documents required by this Agreement are recorded at the time for performance, all documents and funds are to
be held in escrow, pending prompt rundown of the title and recording (or registration in the case of registered
land). SELLER'S attorney or other escrow agent may disburse funds after 5:00 p.m. of the next business day
BUYER'SInitials BUYER'SInitials BUYER'SInitials SELLER'SInitials SELLER'SInitials SELLER'SInitials
following the date for performance, provided that the recording attorney has not reported a problem outside the
recording attorney's control.",Property
Title/Plans. The SELLER shall convey the Premises by a good and sufficient quitclaim deed running to the,"6. Title/Plans. The SELLER shall convey the Premises by a good and sufficient quitclaim deed running to the
BUYER or to the BUYER'S nominee, conveying good and clear record and marketable title to the Premises, free
from liens and encumbrances, except:
(a) Real estatetaxes assessed on thePremises which arenot yet due and payable;
(b) Betterment assessments, if any, which are not a recorded lien on thedateofthis Agreement;
(c) Federal, state and local laws, ordinances, bylaws, rules and regulations regulating use of land, including
building codes, zoning bylaws, health and environmental laws;
(d) Any easement, restriction or agreement of record presently in force which does not interfere with the
reasonableuseofthePremises for ;
(e) Utilityeasements in the adjoining ways;
(f) Matters that would bedisclosed byan accurate surveyof thePremises; and
(g)
[insertin(g)referencestoany othereasement,restriction,lease orencumbrancewhichmay continue aftertitleistransferred]
If the deed refers to a plan needed to be recorded with it, at the time for performance the SELLER shall deliver
theplan with thedeed in properform for recording or registration.",Property
Title Insurance. BUYER'S obligations are contingent upon the availability (at normal premium rates) of an,"7. Title Insurance. BUYER'S obligations are contingent upon the availability (at normal premium rates) of an
owner's title insurance policy insuring BUYER'S title to the premises without exceptions other than the standard
exclusions from coverage printed in the current American Land Title Association (""ALTA"") policy cover, the
standard printed exceptions contained in the ALTA form currently in use for survey matters and real estate taxes
(which shall only except real estate taxes not yet due and payable) and those exceptions permitted by paragraph 6
ofthis Agreement.",General
Closing Certifications and Documents. The SELLER shall execute and deliver simultaneously with the,"8. Closing Certifications and Documents. The SELLER shall execute and deliver simultaneously with the
delivery of the deed such certifications and documents as may customarily and reasonably be required by the
BUYER'S attorney, BUYER'S lender, BUYER'S lender's attorney or any title insurance company insuring the
BUYER'S title to the Premises, including, without limitation, certifications and documents relating to: (a) parties
in possession of the Premises; (b) the creation of mechanics' or materialmen's liens; (c) the underlying financial
terms of the purchase and sale; (d) the citizenship and residency of SELLER; and (e) information required to
permit the closing agent to report the transaction to the Internal Revenue Service. At the time of delivery of the
deed, the SELLER may use monies from the purchase to clear the title, provided that all documents related
thereto are recorded with the deed or within a reasonable time thereafter acceptableto the BUYER and, provided
further, that discharges of mortgages from banks, credit unions, insurance companies and other institutional
lenders may be recorded within a reasonable time after recording of the deed in accordance with usual
conveyancing practices. The SELLER'S spouse hereby agrees to release all statutory, common law or other
rights or interest in thePremises and to executethedeed, if necessary.",General
Possession And Condition Of Premises. At the time for performance the Premises also shall comply with,"9. Possession And Condition Of Premises. At the time for performance the Premises also shall comply with
the requirements of paragraph 6 and there shall be no outstanding notices of violation of any zoning, health,
environmental or other law, bylaw, code or regulation, except as agreed. The BUYER shall have the right to
examine the Premises within forty-eight (48) hours prior to the time for performance or such other time as may
be agreed and upon reasonable notice to SELLER for the purpose of determining compliance with this
paragraph.
2
BUYER'SInitials BUYER'SInitials BUYER'SInitials SELLER'SInitials SELLER'SInitials SELLER'SInitials",Property
Extension Of Time For Performance. If the SELLER cannot convey title as required by this Agreement or,"10. Extension Of Time For Performance. If the SELLER cannot convey title as required by this Agreement or
cannot deliver possession of the Premises as agreed, or if at the time of the delivery of the deed the Premises do
not conform with the requirements set forth in this Agreement, upon written notice given no later than the time
for performance from either party to the other, the time for performance shall be automatically extended for
thirty (30) days, except that if BUYER'S mortgage commitment expires or the terms will materially and
adversely change in fewer than thirty (30) days, the time for performance set forth in paragraph 5 shall be
extended to one business day before expiration of the mortgage commitment. SELLER shall use reasonable
efforts to make title conform or to deliver possession as agreed, or to make the Premises conform to the
requirements of this Agreement. Excluding discharge of mortgages and liens, about which the SELLER has
actual knowledge at the time of signing this Agreement, the SELLER shall not be required to incur costs or
expenses totaling in excess of ($ )
to make the title or the Premises conform or to deliver possession as agreed. If at the expiration of the time for
performance, or if there has been an extension, at the expiration of the time for performance as extended, the
SELLER, despite reasonable efforts, cannot make the title or Premises conform, as agreed, or cannot deliver
possession, as agreed, then, at the BUYER'S election, any payments made by the BUYER pursuant to this
Agreement shall be immediately returned. Upon return of all such funds, all obligations of the BUYER and
SELLER shall terminate and this Agreement shall automatically become void and neither the BUYER nor
SELLERshall havefurtherrecourse orremedyagainst the other.",Legal
